batch_size,dropout,hidden_size,learning_rate,num_layers,shuffle,split_type,use_attention,weight_decay,window_size,r2,test_rmse,test_mae,best_val_rmse,epochs,time_sec
2048,0.2,512,0.002,2,True,lc,False,0.0,48,0.8658545613288879,0.3266608417034149,0.17977483570575714,0.41947673357689447,91,8.9
2048,0.15,512,0.002,2,True,lc,False,0.0,48,0.8630364537239075,0.3300742506980896,0.17926587164402008,0.42090828447235296,94,9.7
1024,0.15,512,0.002,2,True,lc,False,0.0001,48,0.8618130087852478,0.3315452039241791,0.1807374507188797,0.39691670865768475,173,27.2
1024,0.1,512,0.002,2,True,lc,False,0.0,48,0.8614223599433899,0.33201348781585693,0.17543675005435944,0.4204903027962545,62,10.0
2048,0.2,512,0.002,2,True,lc,False,0.0001,48,0.8574914932250977,0.33668944239616394,0.18059282004833221,0.4163684092882565,134,12.5
1024,0.1,512,0.002,2,True,lc,False,0.0001,48,0.8529844284057617,0.3419722020626068,0.18261368572711945,0.4246085882528363,77,7.2
2048,0.15,512,0.002,2,True,lc,False,0.0001,48,0.8506631255149841,0.3446614146232605,0.1886586993932724,0.4262687025004262,90,8.4
1024,0.15,512,0.002,2,True,lc,False,0.0,48,0.8500005006790161,0.34542521834373474,0.18676559627056122,0.4276302408313642,77,7.4
1024,0.2,512,0.002,2,True,lc,False,0.0001,48,0.8474087119102478,0.3483966886997223,0.1897711604833603,0.40868485736674276,117,10.7
1024,0.2,512,0.002,2,True,lc,False,0.0,48,0.8446605801582336,0.35151994228363037,0.18463073670864105,0.4269752549504441,65,6.0
2048,0.1,512,0.002,2,True,lc,False,0.0001,48,0.8414100408554077,0.3551788032054901,0.1919029802083969,0.42919989245190615,90,8.4
2048,0.1,512,0.002,2,True,lc,False,0.0,48,0.8391664028167725,0.35768240690231323,0.18454916775226593,0.42527478404048613,94,8.9
2048,0.1,512,0.002,2,True,lc,False,0.001,48,0.806128978729248,0.3927042782306671,0.20775867998600006,0.4374063314003149,113,10.8
1024,0.1,512,0.002,2,True,lc,False,0.001,48,0.8042615056037903,0.3945910930633545,0.20796066522598267,0.43806413749085354,74,6.8
2048,0.15,512,0.002,2,True,lc,False,0.001,48,0.8030771613121033,0.39578303694725037,0.21057720482349396,0.43802962212474017,111,10.5
1024,0.15,512,0.002,2,True,lc,False,0.001,48,0.8012435436248779,0.3976214528083801,0.2098497748374939,0.4391745903448945,74,10.1
1024,0.2,512,0.002,2,True,lc,False,0.001,48,0.7985860705375671,0.4002707898616791,0.21278981864452362,0.44051663404237507,94,8.5
2048,0.2,512,0.002,2,True,lc,False,0.001,48,0.7792106866836548,0.4190811812877655,0.2273237556219101,0.45226325901371467,108,10.3
