batch_size,dropout,hidden_size,learning_rate,num_layers,shuffle,split_type,use_attention,weight_decay,window_size,r2,test_rmse,test_mae,best_val_rmse,epochs,time_sec
2048,0.1,256,0.0005,2,True,lc,False,0.0001,48,0.6061866283416748,0.38429874181747437,0.29721662402153015,0.3586941342254902,155,29.0
2048,0.15,256,0.0005,2,True,lc,False,0.0001,48,0.6038641333580017,0.38543030619621277,0.29292699694633484,0.3486437427940348,114,20.6
2048,0.1,256,0.0005,2,True,lc,False,0.0,48,0.598453164100647,0.3880537152290344,0.29340875148773193,0.3362407777183635,114,20.3
2048,0.2,256,0.0005,2,True,lc,False,0.0,48,0.5981108546257019,0.38821908831596375,0.2920324504375458,0.3337219179984922,114,20.5
2048,0.2,256,0.0005,2,True,lc,False,0.0001,48,0.57732093334198,0.39813390374183655,0.3203760087490082,0.3810990932407957,42,7.6
1024,0.2,256,0.0005,2,True,lc,False,0.0001,48,0.5593842267990112,0.4064936637878418,0.30382201075553894,0.33282773741861105,89,17.8
1024,0.1,256,0.0005,2,True,lc,False,0.0001,48,0.5469675660133362,0.41218140721321106,0.3051563799381256,0.33070746161236986,101,20.4
1024,0.15,256,0.0005,2,True,lc,False,0.0001,48,0.5457018613815308,0.4127568006515503,0.30588045716285706,0.3306605279063162,123,25.0
1024,0.1,256,0.0005,2,True,lc,False,0.0,48,0.5446629524230957,0.41322848200798035,0.3024578392505646,0.3311345018484175,75,15.0
2048,0.15,256,0.0005,2,True,lc,False,0.0,48,0.5444735884666443,0.4133144021034241,0.30289426445961,0.3290281540236569,114,22.6
1024,0.1,256,0.0005,2,True,lc,False,0.001,48,0.5438379049301147,0.41360267996788025,0.3223188817501068,0.3961519393673514,77,19.4
1024,0.15,256,0.0005,2,True,lc,False,0.001,48,0.5413541197776794,0.41472718119621277,0.3251577615737915,0.4013201576425475,70,13.9
1024,0.15,256,0.0005,2,True,lc,False,0.0,48,0.5388386249542236,0.41586294770240784,0.30240586400032043,0.32599905432837845,88,17.7
1024,0.2,256,0.0005,2,True,lc,False,0.001,48,0.5335043668746948,0.41826117038726807,0.33089882135391235,0.40594596954461315,57,11.4
2048,0.1,256,0.0005,2,True,lc,False,0.001,48,0.5264713168144226,0.42140230536460876,0.33132898807525635,0.3990613050842758,81,14.9
2048,0.15,256,0.0005,2,True,lc,False,0.001,48,0.5258194208145142,0.42169225215911865,0.3320600092411041,0.40222500855095744,73,13.1
1024,0.2,256,0.0005,2,True,lc,False,0.0,48,0.5202380418777466,0.42416679859161377,0.3147330582141876,0.3339699034635969,88,18.7
2048,0.2,256,0.0005,2,True,lc,False,0.001,48,0.5153425931930542,0.42632538080215454,0.33689478039741516,0.40654515811022107,73,13.1
