batch_size,dropout,hidden_size,learning_rate,num_layers,shuffle,split_type,use_attention,weight_decay,window_size,r2,test_rmse,test_mae,best_val_rmse,epochs,time_sec
1024,0.1,512,0.002,1,True,lc,False,0.0,48,0.8718900680541992,0.18600992858409882,0.10331576317548752,0.139928831257293,84,19.0
1024,0.15,512,0.002,1,True,lc,False,0.0,48,0.870615541934967,0.18693289160728455,0.10513755679130554,0.14274573568589405,93,22.1
2048,0.2,512,0.002,1,True,lc,False,0.0,48,0.8704501390457153,0.18705235421657562,0.10584230720996857,0.14124390301579925,120,26.4
1024,0.2,512,0.002,1,True,lc,False,0.0,48,0.8694328665733337,0.1877853274345398,0.10546840727329254,0.14107387493682413,92,20.8
2048,0.15,512,0.002,1,True,lc,False,0.0,48,0.8670111894607544,0.1895187944173813,0.10801392048597336,0.14043240406638058,101,22.0
1024,0.1,512,0.002,1,True,lc,False,0.0001,48,0.8598724603652954,0.1945388913154602,0.1078871339559555,0.14694063751143419,108,24.3
1024,0.2,512,0.002,1,True,lc,False,0.0001,48,0.856296181678772,0.19700570404529572,0.1118350625038147,0.14770753299832223,62,13.9
2048,0.15,512,0.002,1,True,lc,False,0.0001,48,0.8557806611061096,0.19735878705978394,0.11167163401842117,0.1512083224422816,57,12.5
1024,0.15,512,0.002,1,True,lc,False,0.0001,48,0.8552529811859131,0.1977194994688034,0.11205179989337921,0.14826650237766173,53,12.1
2048,0.1,512,0.002,1,True,lc,False,0.0001,48,0.8543066382408142,0.19836479425430298,0.11255335807800293,0.15004133100597028,88,19.3
2048,0.1,512,0.002,1,True,lc,False,0.001,48,0.854026734828949,0.19855524599552155,0.11337205022573471,0.1533697543326992,75,16.3
1024,0.2,512,0.002,1,True,lc,False,0.001,48,0.8532763123512268,0.1990649551153183,0.11397013813257217,0.15301277987916553,56,12.6
2048,0.2,512,0.002,1,True,lc,False,0.0001,48,0.8525810837745667,0.1995360404253006,0.11405272781848907,0.1511080829147836,65,14.2
1024,0.15,512,0.002,1,True,lc,False,0.001,48,0.8525266647338867,0.1995728611946106,0.11399547010660172,0.15382598841685127,54,12.3
1024,0.1,512,0.002,1,True,lc,False,0.001,48,0.8523281812667847,0.19970712065696716,0.11425964534282684,0.15344132654142373,53,12.1
2048,0.15,512,0.002,1,True,lc,False,0.001,48,0.8517310619354248,0.20011043548583984,0.114683598279953,0.15384535040285924,70,15.3
2048,0.1,512,0.002,1,True,lc,False,0.0,48,0.8504394292831421,0.20098020136356354,0.11535774916410446,0.15082437615544178,68,14.9
2048,0.2,512,0.002,1,True,lc,False,0.001,48,0.8496147990226746,0.2015335112810135,0.11585091799497604,0.15475358974781192,69,15.1
