batch_size,dropout,hidden_size,learning_rate,num_layers,shuffle,split_type,use_attention,weight_decay,window_size,r2,test_rmse,test_mae,best_val_rmse,epochs,time_sec
2048,0.2,256,0.002,2,True,lc,False,0.0,48,0.6905484199523926,0.8137807846069336,0.2803966999053955,0.2860048842436308,31,6.4
2048,0.2,256,0.002,2,True,lc,False,0.0001,48,0.6893674731254578,0.8153321743011475,0.284615695476532,0.2883474111645847,31,6.3
2048,0.15,256,0.002,2,True,lc,False,0.0001,48,0.6888262033462524,0.8160421848297119,0.27557137608528137,0.28497830235203564,31,6.6
2048,0.1,256,0.002,2,True,lc,False,0.0001,48,0.6855297684669495,0.8203532099723816,0.2837201952934265,0.2856456780745432,31,6.4
2048,0.15,256,0.002,2,True,lc,False,0.0,48,0.6830247044563293,0.8236141800880432,0.2765485644340515,0.2824443418425147,31,6.4
1024,0.1,256,0.002,2,True,lc,False,0.0001,48,0.6826441287994385,0.8241084814071655,0.29141101241111755,0.2869958671809408,31,6.9
2048,0.1,256,0.002,2,True,lc,False,0.0,48,0.6825321912765503,0.8242538571357727,0.27694061398506165,0.28627137393181074,31,6.3
1024,0.15,256,0.002,2,True,lc,False,0.0001,48,0.6779521703720093,0.8301780819892883,0.28133276104927063,0.29412891326395024,31,7.1
1024,0.2,256,0.002,2,True,lc,False,0.0001,48,0.6765524744987488,0.831980288028717,0.28369757533073425,0.296013635962086,39,9.0
1024,0.15,256,0.002,2,True,lc,False,0.001,48,0.6688368916511536,0.841844916343689,0.31306055188179016,0.29564368253550527,31,7.2
2048,0.2,256,0.002,2,True,lc,False,0.001,48,0.6682029962539673,0.8426502346992493,0.31549176573753357,0.29483353800681505,31,6.4
2048,0.15,256,0.002,2,True,lc,False,0.001,48,0.6660213470458984,0.8454159498214722,0.32147228717803955,0.28882902789937287,31,6.3
2048,0.1,256,0.002,2,True,lc,False,0.001,48,0.6654578447341919,0.8461289405822754,0.3133920133113861,0.2888897601742697,31,6.4
1024,0.1,256,0.002,2,True,lc,False,0.001,48,0.6653658747673035,0.8462452292442322,0.3165297210216522,0.29402209530032186,31,6.8
1024,0.2,256,0.002,2,True,lc,False,0.001,48,0.6621618270874023,0.8502869009971619,0.3394209146499634,0.295693678282653,31,6.9
1024,0.2,256,0.002,2,True,lc,False,0.0,48,0.6619328260421753,0.8505749702453613,0.25950562953948975,0.28646405507931627,43,9.8
1024,0.1,256,0.002,2,True,lc,False,0.0,48,0.6179132461547852,0.9042574763298035,0.39816662669181824,0.27909446254080367,72,16.6
1024,0.15,256,0.002,2,True,lc,False,0.0,48,0.6002779006958008,0.9248902201652527,0.3843124806880951,0.2748463691193586,70,15.5
