batch_size,dropout,hidden_size,learning_rate,num_layers,shuffle,split_type,use_attention,weight_decay,window_size,r2,test_rmse,test_mae,best_val_rmse,epochs,time_sec
2048,0.2,512,0.002,2,True,lc,False,0.0,48,0.9019019603729248,0.22449681162834167,0.08085383474826813,0.21179507461747712,56,22.3
1024,0.15,512,0.002,2,True,lc,False,0.001,48,0.9008482694625854,0.2256992906332016,0.07751832902431488,0.21966377072933793,44,15.9
1024,0.1,512,0.002,2,True,lc,False,0.001,48,0.9004607200622559,0.22613997757434845,0.07418060302734375,0.21966011494875895,62,22.5
1024,0.2,512,0.002,2,True,lc,False,0.001,48,0.9003609418869019,0.22625328600406647,0.07708661258220673,0.22013150878737545,44,16.8
2048,0.1,512,0.002,2,True,lc,False,0.001,48,0.8995969295501709,0.22711904346942902,0.07353264093399048,0.21979082298892755,66,25.4
1024,0.15,512,0.002,2,True,lc,False,0.0001,48,0.8987289071083069,0.22809872031211853,0.08195336163043976,0.21413235007369588,54,19.5
2048,0.15,512,0.002,2,True,lc,False,0.001,48,0.898726224899292,0.2281016707420349,0.07840149849653244,0.22072534654249792,71,28.7
2048,0.2,512,0.002,2,True,lc,False,0.001,48,0.8981620669364929,0.22873617708683014,0.07785791158676147,0.22277661381143263,79,31.2
1024,0.1,512,0.002,2,True,lc,False,0.0001,48,0.8981209993362427,0.2287823110818863,0.08542244136333466,0.21409028180060224,37,13.5
2048,0.2,512,0.002,2,True,lc,False,0.0001,48,0.8974078297615051,0.22958165407180786,0.08101265132427216,0.2149682717749098,48,18.7
1024,0.2,512,0.002,2,True,lc,False,0.0001,48,0.8972410559654236,0.22976814210414886,0.0825500413775444,0.21488144916080815,55,21.8
2048,0.15,512,0.002,2,True,lc,False,0.0001,48,0.8962827324867249,0.23083709180355072,0.08286681026220322,0.21071219520866266,50,20.2
1024,0.15,512,0.002,2,True,lc,False,0.0,48,0.8953823447227478,0.23183688521385193,0.08746211230754852,0.21545811832284611,36,13.2
1024,0.2,512,0.002,2,True,lc,False,0.0,48,0.8933717608451843,0.23405402898788452,0.082182876765728,0.21332580353189437,39,14.1
2048,0.1,512,0.002,2,True,lc,False,0.0001,48,0.8920997381210327,0.23544594645500183,0.08515776693820953,0.21052055652985527,59,22.8
2048,0.1,512,0.002,2,True,lc,False,0.0,48,0.891022801399231,0.2366180121898651,0.08372706174850464,0.22436670845365742,53,20.8
1024,0.1,512,0.002,2,True,lc,False,0.0,48,0.8904560804367065,0.237232506275177,0.08852023631334305,0.21414167101957882,36,13.2
2048,0.15,512,0.002,2,True,lc,False,0.0,48,0.8887261748313904,0.23909834027290344,0.08489998430013657,0.21585498037619194,44,17.3
