batch_size,dropout,hidden_size,learning_rate,num_layers,shuffle,split_type,use_attention,weight_decay,window_size,r2,test_rmse,test_mae,best_val_rmse,epochs,time_sec
2048,0.1,384,0.001,1,True,lc,False,0.0,48,0.6378191709518433,0.11361854523420334,0.05317199230194092,0.17872227587289802,50,38.6
2048,0.2,384,0.001,1,True,lc,False,0.0,48,0.6265075206756592,0.11537916958332062,0.052579957991838455,0.18083699884062532,55,47.5
1024,0.3,384,0.001,1,True,lc,False,0.0,48,0.6220221519470215,0.11606991291046143,0.054253123700618744,0.18541080795514217,48,38.7
1024,0.2,384,0.001,1,True,lc,False,0.0,48,0.6211017966270447,0.11621114611625671,0.05080001428723335,0.18220698779789626,41,32.7
2048,0.2,384,0.001,1,True,lc,False,0.0001,48,0.617950439453125,0.1166934221982956,0.050277229398489,0.17805442111321554,68,52.5
1024,0.3,384,0.001,1,True,lc,False,0.0001,48,0.6153092384338379,0.11709608137607574,0.05263341963291168,0.17849311286309316,48,37.9
1024,0.2,384,0.001,1,True,lc,False,0.0001,48,0.6133794784545898,0.11738941818475723,0.04902845248579979,0.1789625454760959,41,32.5
2048,0.15,384,0.001,1,True,lc,False,0.0,48,0.6128547787666321,0.11746905744075775,0.05448608100414276,0.18247565139035227,55,46.5
2048,0.3,384,0.001,1,True,lc,False,0.0001,48,0.6102579832077026,0.11786235868930817,0.05287094786763191,0.1829232341456903,60,46.2
1024,0.1,384,0.001,1,True,lc,False,0.0,48,0.60892653465271,0.11806350201368332,0.05233611911535263,0.1835146016151212,38,27.3
1024,0.2,384,0.001,1,True,lc,False,0.0005,48,0.6067855954170227,0.11838623881340027,0.054657503962516785,0.18220584294583256,53,42.2
1024,0.1,384,0.001,1,True,lc,False,0.0005,48,0.6036961674690247,0.11885040253400803,0.05104503780603409,0.17936763112527684,39,28.3
1024,0.15,384,0.001,1,True,lc,False,0.001,48,0.601787269115448,0.11913628876209259,0.05282709002494812,0.18284879870279763,50,39.0
2048,0.1,384,0.001,1,True,lc,False,0.0001,48,0.6004129648208618,0.11934169381856918,0.05138253793120384,0.1783018172950152,60,45.9
1024,0.2,384,0.001,1,True,lc,False,0.001,48,0.598892331123352,0.11956856399774551,0.053821202367544174,0.18311652801857062,50,39.7
1024,0.15,384,0.001,1,True,lc,False,0.0,48,0.5983374118804932,0.11965123564004898,0.052489928901195526,0.18461937637070325,48,38.0
2048,0.2,384,0.001,1,True,lc,False,0.0005,48,0.5982179641723633,0.11966903507709503,0.05581773445010185,0.18150308959814676,51,36.9
2048,0.15,384,0.001,1,True,lc,False,0.0001,48,0.5948582887649536,0.12016832083463669,0.054626621305942535,0.18462399380215574,52,41.3
1024,0.1,384,0.001,1,True,lc,False,0.0001,48,0.5921525955200195,0.12056891620159149,0.049154672771692276,0.17726370551810336,38,26.9
1024,0.15,384,0.001,1,True,lc,False,0.0005,48,0.5906945466995239,0.12078423798084259,0.051359228789806366,0.1799365651613303,50,39.3
1024,0.1,384,0.001,1,True,lc,False,0.001,48,0.5891637802124023,0.12100988626480103,0.055637773126363754,0.18229923360575084,40,29.9
2048,0.3,384,0.001,1,True,lc,False,0.0,48,0.5832298994064331,0.12188065052032471,0.060638319700956345,0.18963998810985458,39,32.0
2048,0.3,384,0.001,1,True,lc,False,0.0005,48,0.5830174684524536,0.12191171199083328,0.05715172365307808,0.18235974252357734,47,35.8
2048,0.15,384,0.001,1,True,lc,False,0.001,48,0.5764610767364502,0.12286640703678131,0.054746512323617935,0.18214587403889632,42,32.3
1024,0.15,384,0.001,1,True,lc,False,0.0001,48,0.5754193067550659,0.12301742285490036,0.05165920779109001,0.1788668861290946,38,30.0
